fecha,cod_ine,CCAA,total
2020-04-18,01,Andalucía,184
2020-04-18,02,Aragón,
2020-04-18,03,Asturias,
2020-04-18,04,Baleares,
2020-04-18,05,Canarias,
2020-04-18,06,Cantabria,
2020-04-18,08,Castilla-La Mancha,
2020-04-18,07,Castilla y León,
2020-04-18,09,Cataluña,
2020-04-18,18,Ceuta,4
2020-04-18,10,C. Valenciana,322
2020-04-18,11,Extremadura,50
2020-04-18,12,Galicia,
2020-04-18,13,Madrid,
2020-04-18,19,Melilla,
2020-04-18,14,Murcia,9
2020-04-18,15,Navarra,23
2020-04-18,16,País Vasco,
2020-04-18,17,La Rioja,602
2020-04-18,00,Total,1194
