cod_ine,CCAA,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05
01,Andalucía,0,0,0,0,0,0,1,6,8,12,12,12,12,12,21,27,34,54,71,90,115,219,269,437,554,683,859,1008,1287,1515,1725,1961,2470,3008,3404,3790,4271,4676,5398,5809,6379,6957,7353,7847,8279,8559,8743,8973,9234,9482,9682,9976,10063,10171,10394,10775,11021,11172,11393,11523,11657,11889,12205,12463,12792,12991,13128,13218,13469,13656,13914,14163,14287,14349,14394
02,Aragón,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,11,13,38,45,64,80,121,147,174,207,226,281,360,424,532,638,758,907,1116,1338,1592,1858,2078,2272,2491,2700,2889,3078,3232,3347,3449,3549,3685,3831,3969,4070,4187,4245,4338,4566,4664,4761,4831,4886,4938,5054,5237,5295,5382,5456,5504,5557,5652,5971,6103,6164,6208,6239,6282
03,Asturias,0,0,0,0,0,0,0,0,0,1,1,1,2,5,5,5,7,7,22,32,47,67,92,137,177,193,242,292,344,486,545,594,662,779,841,900,1004,1088,1158,1236,1322,1384,1433,1522,1605,1646,1679,1705,1737,1799,1827,1892,1958,2051,2096,2170,2230,2272,2298,2348,2365,2419,2453,2509,2546,2601,2677,2688,2797,2828,2853,2864,2884,2991,3041
04,Baleares,1,1,1,1,1,1,1,1,2,2,2,2,5,6,6,6,8,11,13,16,22,28,28,42,73,92,112,169,203,246,331,400,478,562,660,755,862,958,1000,1069,1131,1204,1257,1271,1293,1320,1369,1412,1448,1488,1507,1534,1550,1571,1606,1637,1668,1748,1773,1788,1808,1836,1861,1878,1907,1917,1922,1940,1950,1955,1970,1984,1990,1991,1997
05,Canarias,1,1,1,1,2,5,6,6,6,7,7,7,7,8,11,11,17,22,25,37,51,70,90,109,119,148,181,220,287,348,414,481,557,657,784,878,1025,1125,1204,1262,1380,1444,1490,1564,1622,1649,1725,1762,1834,1858,1887,1918,1944,1958,1975,1988,2009,2035,2047,2067,2085,2094,2113,2140,2155,2167,2178,2187,2202,2205,2206,2212,2221,2225,2231
06,Cantabria,0,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,12,12,12,12,16,29,31,51,58,58,68,83,144,215,282,347,425,510,671,810,937,1023,1100,1171,1213,1268,1321,1384,1441,1483,1501,1572,1619,1659,1719,1752,1777,1796,1823,1845,1884,1990,2050,2083,2108,2160,2206,2244,2315,2330,2350,2386,2439,2505,2547,2577,2589,2596,2607
08,Castilla La Mancha,0,0,0,0,0,0,0,0,0,1,3,7,12,13,15,15,15,26,39,71,115,194,289,401,567,567,675,801,1044,1423,1819,2078,2465,2780,3383,3934,4512,5246,5858,6424,7047,7682,8523,9324,10031,10602,11077,11788,12489,13063,13456,13698,14054,14329,14680,15151,15997,16349,16625,16796,17045,17321,17557,18053,18525,18995,19286,19518,19795,20071,20516,21023,21290,21511,21656
07,Castilla y León,0,0,0,0,0,0,0,0,2,2,2,7,8,12,13,14,21,30,40,64,71,92,169,223,292,431,668,868,1147,1466,1744,2055,2460,2940,3488,4132,4791,5414,5801,6211,6847,7355,7875,8332,8749,9116,9581,10058,10518,11102,11543,12118,12628,13180,13697,14380,14903,15293,15621,15857,16259,16839,17402,17776,18259,18684,19028,19372,19851,20312,20739,20999,21229,21379,21719
09,Cataluña,0,0,0,0,0,1,2,3,5,6,15,15,15,24,24,24,49,59,82,123,202,349,558,742,1017,1414,1866,2702,3270,4203,5046,5747,7864,9937,11592,12940,14263,15025,16104,18520,19991,21804,23460,24734,26032,26824,28323,29647,31043,31824,32984,34027,34726,35197,36505,37354,38316,40095,40600,42703,44139,44829,45919,46571,47288,47838,48782,49185,49681,49943,50334,50877,51261,51393,51798
18,Ceuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,5,5,6,6,9,10,17,17,21,25,34,51,55,62,73,83,83,83,84,84,91,93,93,95,96,98,100,101,111,112,114,114,124,124,125,125,131,131,134,139,146,151,152,152,152,155
10,C. Valenciana,0,0,0,0,0,1,2,8,10,15,15,15,19,19,30,30,37,37,50,65,76,94,130,409,409,541,726,921,1105,1363,1604,1901,2167,2616,3200,3532,4034,4784,5110,5508,5922,6308,6624,6901,7184,7334,7443,7655,7964,8331,8578,8841,9060,9213,9424,9615,9783,10117,10250,10339,10399,10571,10735,10906,11123,11372,11412,11658,11816,12058,12209,12514,12686,12819,12883
