cod_ine,CCAA,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27
01,Andalucía,10592,10672,10772,10936,11030,11139,11270,11403,11536,11703,11774,11852
02,Aragón,4411,4489,4551,4608,4654,4684,4761,4833,4867,4922,4955,4985
03,Asturias,2081,2124,2153,2172,2181,2192,2218,2229,2234,2238,2249,2254
04,Baleares,,,1724,1740,1749,1767,1788,1807,1821,1847,1854,1859
05,Canarias,1988,2009,2035,2047,2067,2085,2094,2113,2140,2155,2167,2178
06,Cantabria,,,,1949,1973,1998,2012,2023,2084,2071,2083,2104
08,Castilla-La Mancha,,,,14588,14725,14936,15053,15128,15365,15509,15609,15664
07,Castilla y León,,,,14644,14781,14951,15141,15510,15692,15990,16222,16404
09,Cataluña,,,,40448,41676,43112,43802,44892,45544,46261,46811,47755
18,Ceuta,98,98,101,101,101,101,100,100,100,100,100,100
10,C. Valenciana,,9486,9584,9657,9708,9750,9825,9869,9939,10066,10160,10180
11,Extremadura,2581,2656,2663,2673,2692,2692,2692,2715,2718,2718,2736,2749
12,Galicia,,,8084,8185,8299,8468,,0,8932,9116,9176,9238
13,Madrid,,,52946,53670,54300,55325,56245,57094,58191,58819,59126,59421
19,Melilla,103,,104,104,104,105,105,106,107,108,110,110
14,Murcia,1424,1423,1430,1438,1440,1445,1455,1460,1468,1468,1474,1474
15,Navarra,,,4349,4413,4449,4475,4531,4577,4581,4627,4712,4733
16,País Vasco,,,,11570,11571,11607,11712,11789,11881,12366,12455,12513
17,La Rioja,3539,3547,3583,3636,3664,3684,3704,3741,3790,3821,3861,3892
00,Total,,,,188579,191164,194516,188508,191389,202990,205905,207634,209465
