"cod_ine","CCAA","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22"
"01","Andalucía",0,0,0,0,0,0,0,0,0,0,0,2,6,7,11,19,23,30,40,47
"02","Aragón",0,0,0,1,1,2,2,3,4,6,7,7,7,11,12,13,15,17,22,24
"03","Asturias",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,5,8
"04","Baleares",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,4,4
"05","Canarias",0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,7,9
"06","Cantabria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5
"08","Castilla-La Mancha",0,0,0,0,0,0,0,0,0,1,5,6,10,17,17,28,42,42,84,112
"07","Castilla y León",0,0,0,0,0,0,0,0,0,0,1,3,6,9,12,22,29,43,55,74
"09","Cataluña",0,0,0,0,1,1,1,3,3,4,4,6,8,12,18,41,55,82,122,191
"18","Ceuta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","C. Valenciana",0,1,1,1,1,1,1,1,1,1,1,4,5,5,13,22,24,33,50,69
"11","Extremadura",0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,6,8,10,12,14
"12","Galicia",0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,5,9,12
"13","Madrid",0,0,1,2,4,8,8,21,31,56,81,86,213,213,355,390,498,628,804,1021
"19","Melilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Murcia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"15","Navarra",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,9,14
"16","País Vasco",0,0,1,1,1,5,5,6,6,11,14,14,23,23,36,40,53,71,85,97
"17","La Rioja",0,0,0,0,0,0,0,1,2,2,2,3,3,4,5,5,5,7,15,18
"00","Total",0,1,3,5,8,17,17,35,47,84,120,136,288,309,491,598,767,1002,1326,1720
