cod_ine,CCAA,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020
01,Andalucía,0,0,0,0,0,0,0,0,0,0,0,2,6,7,11,19
02,Aragón,0,0,0,1,1,2,2,3,4,6,7,7,7,11,12,13
03,Asturias,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
04,Baleares,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
05,Canarias,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3
06,Cantabria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
08,Castilla-La Mancha,0,0,0,0,0,0,0,0,0,1,5,6,10,17,17,28
07,Castilla y León,0,0,0,0,0,0,0,0,0,0,1,3,6,9,12,22
09,Cataluña,0,0,0,0,1,1,1,3,3,4,4,6,8,12,18,41
18,Ceuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,C. Valenciana,0,1,1,1,1,1,1,1,1,1,1,4,5,5,13,22
11,Extremadura,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,6
12,Galicia,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3
13,Madrid,0,0,1,2,4,8,8,21,31,56,81,86,213,213,355,390
19,Melilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Murcia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Navarra,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
16,País Vasco,0,0,1,1,1,5,5,6,6,11,14,14,23,23,36,40
17,La Rioja,0,0,0,0,0,0,0,1,2,2,2,3,3,4,5,5
00,Total,0,1,3,5,8,17,17,35,47,84,120,136,288,309,491,598
