fecha,cod_ine,CCAA,total
2020-03-04,01,Andalucía,0
2020-03-05,01,Andalucía,0
2020-03-06,01,Andalucía,0
2020-03-07,01,Andalucía,0
2020-03-08,01,Andalucía,0
2020-03-09,01,Andalucía,0
2020-03-10,01,Andalucía,0
2020-03-11,01,Andalucía,0
2020-03-12,01,Andalucía,0
2020-03-13,01,Andalucía,0
2020-03-14,01,Andalucía,2
2020-03-15,01,Andalucía,6
2020-03-16,01,Andalucía,7
2020-03-17,01,Andalucía,11
2020-03-18,01,Andalucía,19
2020-03-19,01,Andalucía,23
2020-03-20,01,Andalucía,30
2020-03-21,01,Andalucía,40
2020-03-22,01,Andalucía,47
2020-03-23,01,Andalucía,58
2020-03-24,01,Andalucía,87
2020-03-25,01,Andalucía,113
2020-03-26,01,Andalucía,134
2020-03-27,01,Andalucía,144
2020-03-28,01,Andalucía,175
2020-03-29,01,Andalucía,207
2020-03-30,01,Andalucía,236
2020-03-31,01,Andalucía,248
2020-04-01,01,Andalucía,308
2020-04-02,01,Andalucía,343
2020-04-03,01,Andalucía,376
2020-04-04,01,Andalucía,426
2020-04-05,01,Andalucía,470
2020-04-06,01,Andalucía,491
2020-04-07,01,Andalucía,528
2020-04-08,01,Andalucía,605
2020-04-09,01,Andalucía,652
2020-04-10,01,Andalucía,691
2020-04-11,01,Andalucía,737
2020-04-12,01,Andalucía,799
2020-04-13,01,Andalucía,815
2020-04-14,01,Andalucía,836
2020-04-15,01,Andalucía,865
2020-04-16,01,Andalucía,912
2020-04-17,01,Andalucía,940
2020-04-18,01,Andalucía,967
2020-04-19,01,Andalucía,993
2020-04-20,01,Andalucía,1013
2020-04-21,01,Andalucía,1017
2020-04-22,01,Andalucía,1050
2020-04-23,01,Andalucía,1079
2020-04-24,01,Andalucía,1107
2020-04-25,01,Andalucía,1131
2020-04-26,01,Andalucía,1145
2020-04-27,01,Andalucía,1157
2020-04-28,01,Andalucía,1168
2020-04-29,01,Andalucía,1188
2020-04-30,01,Andalucía,1207
2020-05-01,01,Andalucía,1238
2020-05-02,01,Andalucía,1253
2020-05-03,01,Andalucía,1256
2020-05-04,01,Andalucía,1263
2020-05-05,01,Andalucía,1267
2020-05-06,01,Andalucía,1281
2020-05-07,01,Andalucía,1294
2020-05-08,01,Andalucía,1301
2020-05-09,01,Andalucía,1317
2020-05-10,01,Andalucía,1320
