cod_ine,CCAA,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24
01,Andalucía,184,220,232,242,311,392,452
02,Aragón,,,,,,0,0
03,Asturias,,,,,,0,
04,Baleares,,,,,,0,0
05,Canarias,,,,,,0,0
06,Cantabria,,,,,,0,
08,Castilla-La Mancha,,,,,,0,
07,Castilla y León,,,,,,0,
09,Cataluña,,,,,,0,
18,Ceuta,4,4,4,4,6,6,7
10,C. Valenciana,322,313,321,315,33,43,58
11,Extremadura,50,56,57,73,86,106,172
12,Galicia,,,,,,0,
13,Madrid,,1261,,,,0,0
19,Melilla,,3,5,5,6,7,9
14,Murcia,9,9,13,15,22,0,
15,Navarra,23,35,38,50,59,69,88
16,País Vasco,,,,,,0,
17,La Rioja,602,625,637,720,794,888,970
00,Total,1194,2526,1307,1424,1317,1511,1756
